-53,139
-43,127
-38,119
-35,116
-33,113
-31,110
-28,106
-25,101
-22,96
-19,89
-17,84
-15,78
-14,74
-13,69
-13,65
-12,60
-12,55
-12,51
-13,46
-13,42
-13,39
-14,37
-14,35
-15,33
-16,30
-16,27
-17,25
-18,23
-19,20
-20,15
-22,11
-24,8
-25,6
-27,3
-29,0
-32,-4
-35,-8
-39,-11
-42,-14
-45,-17
-50,-20
-54,-23
-59,-25
-65,-28
-74,-31
-84,-33
-92,-34
-98,-34
-104,-34
-110,-33
-117,-32
-123,-31
-126,-30
-130,-28
-134,-27
-138,-26
-143,-23
-148,-21
-153,-18
-159,-15
-165,-11
-169,-7
-174,-3
-178,2
-180,6
-181,8
-183,11
-185,14
-187,18
-189,21
-191,24
-193,28
-195,32
-198,36
-199,40
-201,43
-202,47
-203,50
-204,54
-205,58
-206,61
-206,64
-207,68
-207,73
-207,77
-207,81
-207,86
-206,91
-205,95
-205,97
-205,98
-204,98
-204,100
-204,101
-204,101
-204,101
-204,102
-204,102
-204,102
-203,103
-203,105
-202,107
-201,109
-200,113
-197,117
-196,120
-195,122
-193,124
-191,128
-187,133
-185,136
-183,138
-181,140
-179,141
-177,143
-174,145
-172,147
-170,148
-168,150
-166,151
-164,152
-161,154
-158,155
-155,157
-152,157
-150,159
-146,160
-142,161
-139,161
-136,162
-133,162
-129,163
-125,163
-122,163
-119,163
-116,163
-114,163
-111,163
-108,163
